Function,Pop_Size,Iters,fitness
LeadingOnes,1600,1600,1000
LeadingOnes,1600,1600,1000
LeadingOnes,1600,1600,1000
LeadingOnes,1600,1600,1000
LeadingOnes,1600,1600,1000
LeadingOnes,1600,1600,1000
LeadingOnes,1600,1600,1000
LeadingOnes,1600,1600,1000
LeadingOnes,1600,1600,1000
LeadingOnes,1600,1600,1000
LeadingOnes,1600,1600,1000
LeadingOnes,1600,1600,991
LeadingOnes,1600,1600,1000
LeadingOnes,1600,1600,1000
LeadingOnes,1600,1600,1000
LeadingOnes,1600,1600,1000
LeadingOnes,1600,1600,1000
LeadingOnes,1600,1600,1000
LeadingOnes,1600,1600,995
LeadingOnes,1600,1600,1000
LeadingOnes,1600,1600,1000
LeadingOnes,1600,1600,1000
LeadingOnes,1600,1600,1000
LeadingOnes,1600,1600,1000
LeadingOnes,1600,1600,1000
LeadingOnes,1600,1600,1000
LeadingOnes,1600,1600,1000
LeadingOnes,1600,1600,1000
LeadingOnes,1600,1600,1000
LeadingOnes,1600,1600,1000
LeadingOnes,1600,1600,1000
LeadingOnes,1600,1600,1000
LeadingOnes,1600,1600,1000
LeadingOnes,1600,1600,1000
LeadingOnes,1600,1600,1000
LeadingOnes,1600,1600,1000
LeadingOnes,1600,1600,978
LeadingOnes,1600,1600,1000
LeadingOnes,1600,1600,1000
LeadingOnes,1600,1600,1000
LeadingOnes,1600,1600,1000
LeadingOnes,1600,1600,1000
LeadingOnes,1600,1600,1000
LeadingOnes,1600,1600,1000
LeadingOnes,1600,1600,999
LeadingOnes,1600,1600,1000
LeadingOnes,1600,1600,1000
LeadingOnes,1600,1600,1000
LeadingOnes,1600,1600,1000
LeadingOnes,1600,1600,1000
LeadingOnes,1600,1600,1000
LeadingOnes,1600,1600,1000
LeadingOnes,1600,1600,1000
LeadingOnes,1600,1600,1000
LeadingOnes,1600,1600,1000
LeadingOnes,1600,1600,1000
LeadingOnes,1600,1600,1000
LeadingOnes,1600,1600,1000
LeadingOnes,1600,1600,1000
LeadingOnes,1600,1600,1000
LeadingOnes,1600,1600,1000
LeadingOnes,1600,1600,1000
LeadingOnes,1600,1600,1000
Jump,256,256,994
Jump,256,256,994
Jump,256,256,994
Jump,256,256,994
Jump,256,256,994
Jump,256,256,994
Jump,256,256,994
Jump,256,256,994
Jump,256,256,994
Jump,256,256,994
Jump,256,256,994
Jump,256,256,994
Jump,256,256,994
Jump,256,256,994
Jump,256,256,994
Jump,256,256,1000
Jump,256,256,994
Jump,256,256,994
Jump,256,256,994
Jump,256,256,994
Jump,256,256,994
Jump,256,256,994
Jump,256,256,1000
Jump,256,256,994
Jump,256,256,994
Jump,256,256,994
Jump,256,256,994
Jump,256,256,994
Jump,256,256,994
Jump,256,256,994
Jump,256,256,1000
Jump,256,256,994
Jump,256,256,994
Jump,256,256,994
Jump,256,256,994
Jump,256,256,994
Jump,256,256,994
Jump,256,256,994
Jump,256,256,994
Jump,256,256,994
Jump,256,256,994
Jump,256,256,994
Jump,256,256,994
Jump,256,256,994
Jump,256,256,994
Jump,256,256,994
Jump,256,256,994
Jump,256,256,994
Jump,256,256,994
Jump,256,256,994
Jump,256,256,994
Jump,256,256,994
Jump,256,256,994
Jump,256,256,994
Jump,256,256,994
Jump,256,256,994
Jump,256,256,994
Jump,256,256,994
Jump,256,256,994
Jump,256,256,994
Jump,256,256,994
Jump,256,256,994
Jump,256,256,994
Jump,256,256,994
Jump,256,256,994
Jump,256,256,994
Jump,256,256,994
Jump,256,256,994
Jump,256,256,994
Jump,256,256,994
Jump,256,256,994
Jump,256,256,994
Jump,256,256,994
Jump,256,256,1000
Jump,256,256,994
Jump,256,256,994
Jump,256,256,994
Jump,256,256,994
Jump,256,256,994
Jump,256,256,994
Jump,256,256,994
Jump,256,256,994
Jump,256,256,994
Jump,256,256,994
Jump,256,256,994
Jump,256,256,994
Jump,256,256,994
Jump,256,256,994
Jump,256,256,994
Jump,256,256,994
Jump,256,256,994
Jump,256,256,994
Jump,256,256,994
Jump,256,256,994
Jump,256,256,994
Jump,256,256,994
Jump,256,256,994
Jump,256,256,994
Jump,256,256,994
Jump,256,256,994
